Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
1991,Hoa-Binh Nguyen,Vietnam,,113,56.50%,36/68,48.53%,Bronze,,,,,,,
1991,Hieu Chi Dam,Vietnam,,101,50.50%,44/68,36.76%,Bronze,,,,,,,
1991,Le Van Tri,Vietnam,,82,41.00%,52/68,25.00%,,,,,,,,
1990,Trần Hoài Linh,Vietnam,,104,52.00%,12/100,89.00%,Silver,,,,,,,
1990,Nguyễn Việt Hà,Vietnam,,82,41.00%,22/100,79.00%,Bronze,,,,,,,
1990,Nguyen Linh Anh,Vietnam,,75,37.50%,28/100,73.00%,Bronze,,,,,,,
1990,Hoa-Binh Nguyen,Vietnam,,,,,,,,,,,,,
1989,Nguyen Linh Anh,Vietnam,,65,65.00%,15/46,69.57%,Bronze,,,,,,,
1989,T. Nguyen Nam,Vietnam,,20,20.00%,34/46,28.26%,,,,,,,,
1989,H. Nguyen Duc,Vietnam,,10,10.00%,38/46,19.57%,,,,,,,,
