Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
1998,Uros Platise,Slovenia,,100,14.29%,184/241,24.07%,,,,,,,,
1998,Jurij Leskovec,Slovenia,,60,8.57%,197/241,18.67%,,,,,,,,
1997,Mitja Šlenc,Slovenia,,274,45.67%,65/221,71.04%,Bronze,,,,,,,
1997,Janez Brank,Slovenia,,174,29.00%,127/221,42.99%,,,,,,,,
1997,Klemen Kenda,Slovenia,,73,12.17%,181/221,18.55%,,,,,,,,
1997,Matevž Harlander,Slovenia,,71,11.83%,184/221,17.19%,,,,,,,,
1996,Janez Brank,Slovenia,,123,61.50%,79/220,64.55%,Bronze,,,,,,,
1996,Miha Vuk,Slovenia,,114,57.00%,93/220,58.18%,Bronze,,,,,,,
1996,Miha Grčar,Slovenia,,86,43.00%,122/220,45.00%,,,,,,,,
1996,Žiga Hajduković,Slovenia,,41,20.50%,188/220,15.00%,,,,,,,,
1995,Miha Vuk,Slovenia,,136,68.00%,37/210,82.86%,Silver,,,,,,,
1995,Janez Brank,Slovenia,,123,61.50%,52/210,75.71%,Silver,,,,,,,
1995,Klemen Žagar,Slovenia,,95,47.50%,96/210,54.76%,Bronze,,,,,,,
1995,Mitja Šlenc,Slovenia,,75,37.50%,125/210,40.95%,,,,,,,,
1995,Tina Kosmač,Slovenia,,3,1.50%,199/210,5.71%,,,,,,,,
1994,Borut Jeric,Slovenia,,,,,,,,,,,,,
1994,Drago Bokal,Slovenia,,,,,,,,,,,,,
1994,Marko Mlinar,Slovenia,,,,,,,,,,,,,
1993,Damjan Lango,Slovenia,,128,64.00%,72/155,54.19%,Bronze,,,,,,,
1993,Andraž Bežek,Slovenia,,125,62.50%,79/155,49.68%,Bronze,,,,,,,
