Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
1996,Sehyuk Park,Republic of Korea,,151,75.50%,52/220,76.82%,Silver,,,,,,,
1996,Hyung Chan An,Republic of Korea,,124,62.00%,78/220,65.00%,Bronze,,,,,,,
1996,Young Min Choi,Republic of Korea,,110,55.00%,99/220,55.45%,Bronze,,,,,,,
1995,Se Hee Park,Republic of Korea,,127,63.50%,46/210,78.57%,Silver,,,,,,,
1995,Young Min Choi,Republic of Korea,,118,59.00%,57/210,73.33%,Bronze,,,,,,,
1995,Seung Il Huh,Republic of Korea,,115,57.50%,62/210,70.95%,Bronze,,,,,,,
1995,Kim Hee Youl,Republic of Korea,,78,39.00%,120/210,43.33%,,,,,,,,
1995,Choi Seung Yeon,Republic of Korea,,62,31.00%,138/210,34.76%,,,,,,,,
1994,Seung Il Huh,Republic of Korea,,156,78.00%,10/189,95.24%,Gold,,,,,,,
1994,Kun Ho Lee,Republic of Korea,,116,58.00%,29/189,85.19%,Silver,,,,,,,
1994,Se Hee Park,Republic of Korea,,71,35.50%,79/189,58.73%,Bronze,,,,,,,
1994,Ji Ung Sim,Republic of Korea,,,,,,,,,,,,,
1993,Kun Ho Lee,Republic of Korea,,192,96.00%,6/155,96.77%,Gold,,,,,,,
1993,Seung Il Huh,Republic of Korea,,170,85.00%,28/155,82.58%,Silver,,,,,,,
1993,Young Min Choi,Republic of Korea,,149,74.50%,49/155,69.03%,Bronze,,,,,,,
1993,Young Ho Choi,Republic of Korea,,129,64.50%,70/155,55.48%,Bronze,,,,,,,
1992,Bom Jun Kim,Republic of Korea,,200,100.00%,1/171,100.00%,Gold,,,,,,,
1992,Kang Hoe Kim,Republic of Korea,,195,97.50%,14/171,92.40%,Silver,,,,,,,
1992,Jong Hyun Lee,Republic of Korea,,190,95.00%,23/171,87.13%,Silver,,,,,,,
1992,Jin Suk Park,Republic of Korea,,143,71.50%,71/171,59.06%,Bronze,,,,,,,
1990,Kim Khak Son,Republic of Korea,,,,,,,,,,,,,
1990,Kim Von Yen,Republic of Korea,,,,,,,,,,,,,
1990,Tsoi Chol Min,Republic of Korea,,,,,,,,,,,,,
