Text
"16th International Biology Olympiad - Beijing, China, 2005 - Fi nal Results 
23 Singapore Shiwei  Chen 481 31 32.9 28.8 25 58.63 58.33 122.9264042
24 USA Grace Eckhoff 584 28 26.1 28.8 27 62.13 63.43 122.7729111
25 Turkey Bekir Alta ş 541 33 28.8 29.2 25 62.33 55.83 122.5687107"
"26 Chinese Taipei Zong-Ruei Wong 213 27 20.9 27 37 63.38 58.83 122.2618003
27 Russia Dariya Esyunina 471 31 30.5 34 28 52.45 51.33 119.7781697
28 Korea Hansul Kim 353 32 20.7 25.8 21 64.73 65.99 119.5359331
29 Thailand Thanawat Luangsukrerk 533 22 24.6 29.2 33 64.24 55.83 119.5284687
30 Russia Mikhail Kuravskiy 474 28 14.6 26.8 34 63.83 60.83 118.7664507
31 Singapore Guo Xuan Teo 484 25 23.6 28 35 51.92 63.83 118.990814
32 Russia Pavel Kudryashov 473 22 13.5 26.4 33 70.58 61.72 117.766515
33 Germany David Haselbach 272 35 25.5 23 27 57.28 55.77 117.0878368
34 Turkey Enes Seyfullah Kotil 544 23 23.1 34 27 62.38 53.74 116.6945939
35 Romania Andrei Petrut Dinu - Ionita 464 27 18.9 33.2 25 60.18 58.55 116.3000993
36 Chinese Taipei Po-Cheng Hsu 211 27 21.9 23.8 28 61.68 60.83 116.2482328
37 Ukraine Shyyan Maksym 563 29 19.2 28.8 31 60.38 52.71 115.7325579
38 Indonesia Andi Pratomo 304 31 27.8 29.8 29 50.15 51.83 115.6688613
39 Germany Anne Behrendt 271 33 25.8 32 17 56.98 56.07 115.6033645
40 Iran Ali Anousheh 312 31 22.2 21.8 21 64.18 61.99 115.423923
41 Argentina Mauro Nicolas Gaya 114 29 15.9 32 28 58.28 57.33 115.2398098
42 Slovakia Juraj Sekeres 492 25 23.7 33 34 51.33 51.83 115.1915907
43 Kazakhstan Alexey Dudnik 341 27 23.1 29 26 60.93 54.33 115.1814865
44 Czech Republic Ivana Vonkova 233 26 32.7 29 27 54.13 48.49 114.3821477
45 Vietnam Nguyen Thi Kim Ngan 593 35 18.2 30.8 25 55.97 52.48 114.0513952
46 Czech Republic Zdenek Janovsky 232 28 21.6 29 27 55.05 57.21 114.0139531
47 Singapore Yen Lin Mabel Ang 482 27 22.8 30.8 20 53.73 63.33 113.5728274
48 Indonesia Fenryco Pratama 301 34 26.7 23 25 55.13 52 113.2517821
49 Germany Richard Rosch 274 29 25.8 21.8 27 52.63 59.49 112.8470303
50 Poland Pawel Cupryn 453 26 21.6 26.4 31 61.38 48.71 112.6407085
51 Indonesia Ihsan T.  Pramanda 302 28 30 28.6 28 45.28 53.65 112.5529713
52 Iran Dorna Motevalli Meidanshah 313 30 20 18.2 23 61.18 64.05 112.3328979
53 Poland Tomasz Zemleduch 452 29 17.7 26.2 32 56.98 51.41 111.7683478
54 Ukraine Barsukov Oleksiy 562 24 30.9 23 31 53.38 49.49 111.3134843
55 Turkey MustafaTo şur 543 29 18.5 24.2 26 59.58 55.98 111.2571764
56 United Kingdom Loren Lam 574 23 23.7 25.4 29 55.17 56.49 111.2513454
57 United Kingdom Alice Turbull 571 23 23 28.2 21 58.78 59.24 111.0654623
58 Iran Mehrnoosh Alborzi 314 25 14.1 23 28 61.13 62.16 110.7953378
59 Australia Anna Wang 124 32 21.3 18 24 62.9 54.33 110.7406013"
"60 Azerbaijan Elshad Hasanov 134 27 25.8 22.8 29 53.63 52.58 110.5552365
61 Netherlands Robin Quax 424 32 18.9 28.2 29 46.22 54.55 109.8639356
62 India Saurabh 　Maha jan 294 21 18 28.8 26 63.63 53.49 109.8630052
63 Belarus  Maryna Panamarova 141 19 24 25.8 29 58.98 53.08 109.6293151
64 United Kingdom Bataillard 573 30 14.7 21.2 30 59.38 54.65 109.5318859
65 Latvia Arturs Gail ītis 383 24 20 26.8 32 56.13 48.99 109.0415033
66 Latvia Zane Paunina 382 27 28.5 26 29 49.15 47.05 108.9861561
67 Kazakhstan Diyar Mailepessov 342 30 21 23.6 18 60.58 55.71 108.8041658
68 Ukraine Denis Yevheniy 561 32 15 27 25 54.98 53.33 108.4860359
69 Iran Ahmad Shahabeddin parizi 311 20 25.5 24.8 25 57.43 54.77 108.3221174
70 Turkey Mehmet Karda ş 542 23 19.2 24 27 57.93 56.55 108.263779
71 Czech Republic Petr Zouhar 234 26 32.6 24 20 47.85 55.75 108.2007083
72 Vietnam Nghiem Viet Dung 592 32 24.9 28.2 25 48.15 46.65 108.0930976
73 Bulgaria Yordan Todorov Radev 184 24 16.2 25 34 52.53 53.83 107.6584136
74 Poland Paula Szuba 451 28 25.5 23.8 19 58.53 51 107.5881542
75 Germany Stefan Heinrich 273 30 16.2 25.8 34 45.76 51.71 107.1226667
76 Canada Daniel Chung 192 24 18.9 29 30 49.91 51.83 106.9215349
77 Belarus  Yury Linnik 144 27 26.7 28 26 45.41 48.99 106.5812419
78 Netherlands Ymkje Anna de Vries 421 30 26.1 26.8 20 48.77 50.8 106.4279776
79 Poland Jan Pojda 454 24 9.3 26 33 58.88 52.15 106.1101538
80 Azerbaijan Altay Badirov 132 24 25.7 23.6 19 60.83 49.94 105.9851427
81 Turkmenistan Muhammet Muhammedov 552 29 24.8 20 25 45.28 57.91 105.914318
82 Belarus  Aliaksandra Radzisheuskay 143 25 23.3 22 27 59.13 45.69 105.8733346
83 New Zealand Camaron Alan Cole 431 25 26.9 19 25 53.76 52.33 105.7142394
84 Canada Andrew Holt 193 30 25.1 26.2 27 44.41 47 105.4734971
85 Argentina Agustín  Manchado Bruno 113 32 24 25.4 24 51.73 42.88 105.4176619
86 Belarus  Darya Ausiannikava 142 23 18 27 23 55.65 54.48 104.9626771
87 Indonesia Adi U. Diaz 303 23 17.1 27.8 25 57.13 50.08 104.603335
88 Argentina Joaquín  Andres Serafini 112 20 28.5 22 26 51.12 51.85 104.5439889
89 Australia Heli Simpson 122 35 12.9 26.8 24 51.4 48.49 104.2726583
90 Latvia Dmitrijs Perminovs 384 23 25.8 31 21 48.35 48.65 104.0377014
91 Slovakia Sona Valuchova 493 31 25.8 24.2 25 51.13 39.25 103.7137103
252 10 22.1 28 27 55.81 56 103.6262034
92 Bulgaria Sergey Sergeev Aleksandrov 183 23 23.1 30.2 28 45.17 46.58 103.4377549"
"93 Canada Jenny Hsi 194 29 17.1 32.2 17 50.71 50.99 103.2735923
94 Estonia Triin Tekko 254 24 18.9 27.4 26 47.81 52.74 103.2704632
95 Vietnam Luu Thanh Thuy 594 37 19.1 25 12 48.43 55.48 103.1266166
96 Azerbaijan Emil Novruzov 133 30 24.6 24.4 14 50.78 53.21 103.1101011
97 Kazakhstan Marat Shotanov 343 26 23.1 23.8 15 55.93 53.83 103.0803826
98 Sweden Mohammad Mirmohades 512 33 24.8 26 27 40.3 42.85 102.8765021
99 Japan Hirofumi Sato 334 29 25.2 21.8 31 41.72 45.77 102.8739684
100 Slovakia Matej Buzgo 491 27 18.9 24.4 21 55.15 49.08 102.2908282
101 Mexico Xochitl Ortiz 392 25 26.7 22 20 56.03 45.1 102.1198423
102 New Zealand Eric Chen Liu 433 34 19.1 20.6 20 47.1 53.87 102.0429124
103 Turkmenistan Yunus Annayev 553 30 18.9 21 19 51.43 54.96 102.009851
104 Mexico Yanus Dechnik 391 28 25.7 17.4 26 47.58 49.22 101.9072622
105 Argentina Carlos  David Alercia 111 18 20.1 34 25 50.23 46.49 101.8687972
106 Canada Anthony Chiu 191 28 15 27.2 21 53.35 50 101.8127333
107 Vietnam Do Thi Hong Van 591 30 15.9 25.8 20 48.16 54.48 101.7462591
108 Latvia Diana Alehnovicha 381 30 20.7 26.8 19 44.65 52.16 101.5821876
109 Netherlands Eline Koers 423 35 18 25 23 50.26 41.38 101.5705105
110 Switzerland Jonas Helfer 521 31 26.9 20.6 27 42.62 43.65 101.4626711
111 India Parijat　Sen 293 17 18 27.2 22 54.28 56.83 101.6952018
112 Czech Republic Jaroslav Icha 231 27 21 25.8 29 41.37 46.05 100.5311325
113 Romania Gabriela Ciobanu 463 23 21.9 25.4 27 51.21 42.33 100.4497763
114 India Shanoob 　Azad 292 26 10.8 24 27 53.83 50.4 100.3665123
115 Japan Ryo Iwama 331 27 20 21.8 30 47.45 42.64 99.61568203
116 Switzerland Jacques Emmenegger 523 27 16.8 24.4 26 46.1 47.57 98.80788769
117 Ukraine Budenchuk Ihor 564 27 21 18.4 28 51.08 41.83 98.55243156
118 Netherlands Emile Nijssen 422 24 22.1 28.2 23 46.37 43.21 98.54576112
119 344 22 15.3 27.8 21 52.38 48.04 97.59995116120 462 10 23.1 28.8 22 55.85 46.83 97.47701605121 502 30 14.1 30.2 17 51.76 42.05 97.28076814122 432 32 18 21.4 13 54.13 47.28 97.1412872123 434 22 19.2 29.2 18 45.93 50.83 97.10473006124 401 29 17.1 25.8 27 43.95 40.25 96.83868034125 513 24 14.4 27.8 22 40.4 55.43 96.54761407126 251 36 25.8 14.8 17 43.99 45.41 96.4249381"
"127 283 29 21.5 26 24 41.01 39.48 95.93455544
128 404 24 15.9 26.4 22 43.33 49.21 95.02072334129 131 29 17.1 24.4 27 45.25 35.38 94.35245544130 393 22 22.5 24.2 18 40.93 51.83 94.24681467131 332 33 18 20.8 19 40.95 46.57 93.98155895132 173 26 15.8 21.8 20 43.08 50.15 92.76840213133 324 27 20.9 21 17 42.2 47.97 92.56166817134 514 31 16.1 24.8 21 37.39 43.87 92.12626597135 182 22 15.8 24.2 32 38.36 41.33 91.97617628136 494 24 20.3 25.2 25 36.36 42.5 91.85200468137 322 24 9.3 17.6 25 43.8 54.99 91.20822125138 402 27 19.1 25.2 16 41.56 44 91.11485165139 244 30 23.3 20.2 19 34.26 42.93 89.94943967140 501 22 16.8 30.2 21 43.26 36.33 89.72887686141 261 25 19.8 29.2 12 44.35 39.33 89.49617934142 174 19 16.4 21.4 29 38.55 45.08 89.36217783143 164 8 21.3 20.2 30 46.82 43.99 89.35063862144 511 32 8.1 20.4 19 43.13 47.05 89.04772712145 333 30 26.1 27.2 11 34.23 38.34 88.71773685146 154 33 22.8 12.8 8 44.18 48.05 88.43895831147 403 21 11.1 26.8 20 44.88 44.71 88.43416536148 503 22 15.6 27.4 25 31.79 44.51 88.14700568149 263 28 10.5 17.8 14 50.59 47.86 87.96583967150 242 29 20.1 26.8 21 31.08 36.92 87.94991828151 102 25 17.4 25.8 23 42.23 31.15 87.40280037152 394 23 14.7 29.2 12 44.08 42.77 87.11674072153 461 22 13.2 18.4 20 46.32 45.58 86.63087671154 151 25 13.1 19 26 38.93 42.01 86.58432148155 262 26 9.2 24 20 33.58 51.27 86.32005827156 524 25 16.5 27.8 17 35.68 40.82 86.20889119157 504 17 20.7 22.8 21 40.38 41.33 86.07485936158 163 24 17.6 16 26 34.93 43.29 85.55141537159 153 30 15 24 19 36.15 36.49 85.28762497160 264 34 13.1 19.8 21 31.35 39.99 84.60758903"
"161 371 22 15.3 23 12 44.04 44.3 84.20444038
162 172 24 15.3 23.4 20 34.7 40.33 83.52280127163 241 29 16.7 24.4 19 33 33.92 83.14216586164 522 22 16.5 17.6 24 38.95 37.58 82.81452728165 223 29 9.6 21.2 21 43.75 31.26 82.46855637166 282 25 22.8 18 20 37.66 30.11 81.73650094167 373 13 16.2 23 19 40.01 44.38 81.70044832168 243 26 16.2 21.4 17 34.12 38.95 81.42582036169 323 21 16.2 18 21 35.98 40.4 80.59816772170 374 20 14.4 17 17 47.18 37.74 80.41582587171 362 19 20.3 22.2 22 36.92 29.09 79.62572149172 221 25 18.5 20.2 21 27.65 36.98 79.62196653173 253 28 15.2 22.4 11 28.2 44.66 79.12563162174 224 20 22.2 18.8 13 33.09 39.2 77.42207698175 104 25 18.6 15.2 10 39.56 35.87 76.07284267176 161 6 22.1 19 19 40.33 37.82 75.89617876177 281 15 13.5 18 24 42.66 29.14 75.26216319178 284 22 9.6 19.8 25 29.88 29.61 72.58721547179 551 25 17.1 13.6 16 32.21 27.82 70.26277248180 162 0 17.1 23 17 40.7 34.11 69.34202595181 171 4 24 12.2 19 30.22 41.43 68.97724989182 372 20 5.7 15 21 38.13 29.52 68.42851365183 222 30 17.7 8 9 28.88 33.19 67.39499687184 444 6 13.5 23 28 28.12 27.25 67.36242351185 152 5 21.9 20 11 38.21 31.05 67.1133635186 321 27 10.5 10 11 29.33 39.13 67.05859671187 103 22 14.4 5 12 38.92 31.97 65.4229664188 442 6 17.1 16.2 18 36.39 28.99 64.91793055189 411 9 17.4 16.6 9 30.07 40.94 64.71093744190 443 6 26.4 20.8 11 33.08 21.32 63.43226724191 364 10 12.5 18.8 14 31.78 32.2 63.14518476192 413 6 3.6 17.6 21 33.33 25.46 56.74615858193 101 0 13.8 21.6 9 28.42 30.37 54.65690126194 441 7 10.8 21.8 8 23.43 27.18 52.48323443"
"195 361 13 16.5 13.2 11 21.63 18.11 50.61061677
196 554 6 7.8 16.8 9 27.65 26.06 49.57531488197 363 12 4.5 11.4 5 18.72 24.55 40.871948
Standard deviation 7.20 5.69 5.70 6.85 11.30 10.46
Variance 51.79 32.34 32.51 46.94 127.80 109.49
Mean 25.131 20.072 24.712 23.434 48.783 48.339"
