Year,Contestant,Original script,Rank,Award
2009,Daniil Khokhlov,Даниил Хохлов,20,Gold medal
2009,Ivan Chernyshov,Иван Чернышов,23,Gold medal
2009,Igor Novozhilov,Игорь Новожилов,53,Silver medal
2008,Andrey Bogorodskiy,Андрей Богородский,3,Gold medal
2008,Sergey Nikitin,Сергей Никитин,5,Gold medal
2008,Yury Timchenko,Юрий Тимченко,18,Gold medal
2008,Vladimir Poddubnyy,Владимир Поддубный,30,Gold medal
2007,Leonid Romashov,Леонид Ромашов,3,Gold medal
2007,Vasiliy Vorobyev,Василий Воробьев,4,Gold medal
2007,Stanislav Terehov,Станислав Терехов,15,Gold medal
2007,Eugeny Nekhoroshev,Евгений Нехорошев,18,Gold medal
2006,Daniil Maltsev,Даниил Мальцев,4,Gold medal
2006,Leonid Romashov,Леонид Ромашов,16,Gold medal
2006,Maxim Mogilnyy,Максим Могильный,18,Gold medal
2006,Timur Mansurov,Тимур Мансуров,41,Silver medal
2005,Alexey Zeifman,Алексей Зейфман,1,Gold medal
2005,Vitaly Abdrashitov,Виталий Абдрашитов,25,Gold medal
2005,Alexey Butenko,Алексей Бутенко,35,Silver medal
2005,Maxim Zimaliev,Максим Зималиев,36,Silver medal
2004,Alexey Zelfman,Алексей Зейфман,1,Gold medal
2004,Egor Vorontsov,Егор Воронцов,35,Silver medal
2004,Ivan Bushmarinov,Иван Бушмаринов,54,Silver medal
2004,Anton Derendyaev,Антон Дерендяев,93,Bronze medal
2003,Alaksandr Belov,Александр Белов,4,Gold medal
2003,Pavel Butkalyuk,Павел Буткалюк,38,Silver medal
2003,Anton Menshenin,Антон Меньшенин,49,Silver medal
2003,Yevgeniy Beletsky,Евгений Белецкий,57,Silver medal
2002,Igor Sedov,Игорь Седов,20,Gold medal
2002,Andrey Solovyev,Андрей Соловьев,30,Silver medal
2002,Evgeniy Larionov,Евгений Ларионов,74,Silver medal
2002,Ilya Glebov,Илья Глебов,110,Bronze medal
2001,Iouri Chliapnikov,Юрий Шляпников,2,Gold medal
2001,Alexandre Tchentsov,Александр Ченцов,17,Gold medal
2001,Igor Sedov,Игорь Седов,19,Gold medal
2001,Alexander Salakin,Александр Салакин,63,Silver medal
2000,Alexei Koudrinski,Алексей Кудринский,4,Gold medal
2000,Irina Borodina,Ирина Бородина,10,Gold medal
2000,Alexandre Tchentsov,Александр Ченцов,14,Gold medal
2000,Mikhail Kabechov,Михаил Кабешов,17,Gold medal
1999,Evgueni Markhassine,Евгений Мархасин,81,Bronze medal
1999,Evgueni Evtoushenko,Евгений Евтушенко,89,Bronze medal
1999,Dmitri Babaev,Дмитрий Бабаев,90,Bronze medal
1999,Igor Jiline,Игорь Жилин,105,Bronze medal
1998,Boulat Garifoulline,Гарифуллин Булат,15,Gold medal
1998,Serguei Makarov,Сергей Макаров,18,Gold medal
1998,Iouri Kovelenov,Ковеленов Юрий,35,Silver medal
1998,Evgueni Lissitsky,Евгений Лисицкий,77,Bronze medal
1997,Ilya Riabinkine,Илья Рябинкин,17,Gold medal
1997,Nikolai Grigorenko,Николай Григоренко,23,Silver medal
1997,Anton Sinitski,Антон Синицкий,24,Silver medal
1997,Artour Izmailov,Артур Измайлов,75,Bronze medal
1996,Vladimir Molodogen,Владимир Молодожен,9,Gold medal
1996,Anton Sinitski,Антон Синицкий,10,Gold medal
1996,Vladimir Smolentsev,Владимир Смоленцев,13,Gold medal
1996,Oleg Dolgov,Олег Долгов,20,Gold medal
1995,Igor A Gariev,Игорь Гариев,9,Gold medal
1995,Mikhail Serebriakov,Михаил Серебряков,17,Gold medal
1995,Konstantine Yunriviech Tchegaev,Константин Чегаев,91,Bronze medal
1995,Viatchislav Chtcherban,Вячеслав Щербан,105,Bronze medal
1994,Dmitry Bondar,Дмитрий Бондарь,1,Gold medal
1994,Andrei Tokmachev,Андрей Токмачев,20,Silver medal
1994,Igor A Gariev,Игорь Гариев,35,Silver medal
1994,Aleksandr Isanin,Александр Исанин,,Participant
